Date,Time,Topic,Message
2019-11-24,14:59:17,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1980145 1576325420520 
1981082 1576325420561 
1981579 1576325420602 
1981223 1576325420643 
1980980 1576325420681 
1980980 1576325420722 
1981045 1576325420761 
1981444 1576325420801 
1981668 1576325420842 
1981536 1576325420880 
1981536 1576325420921 
1980958 1576325420960 
1980784 1576325420999 
1980057 1576325421040 
1981540 1576325421080 
1981540 1576325421120 
1978443 1576325421160 
1977349 1576325421200 
1976781 1576325421240 
1976353 1576325421280 
"
2019-11-24,14:59:17,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1976353 1576325421320 
1976621 1576325421361 
1976953 1576325421401 
1977179 1576325421443 
1977180 1576325421482 
1977180 1576325421521 
1979313 1576325421561 
1980563 1576325421601 
1981262 1576325421642 
1982608 1576325421681 
1982608 1576325421722 
1983610 1576325421760 
1984530 1576325421801 
1984882 1576325421841 
1991845 1576325421881 
1991845 1576325421921 
1986945 1576325421960 
1988457 1576325422000 
1993560 1576325422041 
1988942 1576325422080 
"
2019-11-24,14:59:18,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1988942 1576325422121 
1989838 1576325422162 
1988739 1576325422202 
1990320 1576325422242 
1993472 1576325422284 
1993472 1576325422322 
1989838 1576325422361 
1989964 1576325422403 
1992082 1576325422442 
1991177 1576325422481 
1991177 1576325422521 
2008548 1576325422561 
1993323 1576325422601 
1990981 1576325422642 
1991548 1576325422681 
1991548 1576325422733 
1991367 1576325422761 
1991248 1576325422800 
1991433 1576325422841 
1991120 1576325422881 
"
2019-11-24,14:59:19,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1991120 1576325422921 
1991546 1576325422962 
1991815 1576325423002 
1991770 1576325423044 
1991806 1576325423083 
1991806 1576325423123 
1990932 1576325423162 
1989774 1576325423202 
1990104 1576325423243 
1989842 1576325423282 
1989842 1576325423322 
1989589 1576325423362 
1989572 1576325423401 
1989451 1576325423442 
1989104 1576325423482 
1989104 1576325423521 
1996563 1576325423561 
1989915 1576325423601 
1990350 1576325423642 
1992401 1576325423681 
"
2019-11-24,14:59:20,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1992401 1576325423722 
1986690 1576325423762 
1985898 1576325423802 
1984800 1576325423845 
1984263 1576325423882 
1984263 1576325423922 
1985078 1576325423962 
1985415 1576325424003 
1986952 1576325424042 
1987004 1576325424082 
1987004 1576325424122 
1987657 1576325424162 
1987786 1576325424202 
1988609 1576325424242 
1989405 1576325424281 
1989405 1576325424322 
1989105 1576325424361 
1989427 1576325424401 
1994042 1576325424442 
1990210 1576325424481 
"
2019-11-24,14:59:21,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1990210 1576325424521 
2029391 1576325424563 
1992963 1576325424603 
1987645 1576325424644 
1987120 1576325424683 
1987120 1576325424723 
1986717 1576325424762 
1986260 1576325424803 
1984793 1576325424843 
1983642 1576325424882 
1983642 1576325424923 
1983629 1576325424962 
1984465 1576325425001 
1984953 1576325425043 
1984668 1576325425082 
1984668 1576325425122 
1988142 1576325425163 
1985550 1576325425202 
2018047 1576325425242 
1987468 1576325425282 
"
2019-11-24,14:59:21,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1987468 1576325425322 
1984544 1576325425363 
1984167 1576325425403 
1983957 1576325425443 
1983739 1576325425483 
1983739 1576325425523 
1984748 1576325425563 
1984907 1576325425603 
1984615 1576325425644 
1984141 1576325425683 
1984141 1576325425722 
1984875 1576325425763 
1984056 1576325425802 
1984496 1576325425842 
1983872 1576325425883 
1983872 1576325425922 
1983670 1576325425962 
1983568 1576325426003 
1985138 1576325426043 
1984915 1576325426082 
"
2019-11-24,14:59:22,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1984915 1576325426123 
1985048 1576325426163 
1984434 1576325426203 
1984168 1576325426246 
1984500 1576325426283 
1984500 1576325426323 
1984309 1576325426363 
1984428 1576325426403 
1984821 1576325426443 
1984655 1576325426483 
1984655 1576325426523 
1984826 1576325426563 
1985239 1576325426603 
1985197 1576325426643 
1984923 1576325426682 
1984923 1576325426723 
1984252 1576325426762 
1984881 1576325426802 
1984764 1576325426843 
1984811 1576325426882 
"
2019-11-24,14:59:23,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1984811 1576325426923 
1985035 1576325426964 
1984940 1576325427003 
1985446 1576325427046 
1986358 1576325427084 
1986358 1576325427125 
1986407 1576325427163 
1985754 1576325427204 
1989933 1576325427244 
1985524 1576325427283 
1985524 1576325427323 
1985115 1576325427363 
1985041 1576325427403 
1985418 1576325427444 
1984773 1576325427483 
1984773 1576325427523 
1984890 1576325427563 
1985670 1576325427603 
1985858 1576325427643 
1986640 1576325427683 
"
2019-11-24,14:59:24,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1986640 1576325427723 
1985644 1576325427764 
1985727 1576325427804 
1985221 1576325427844 
1985730 1576325427885 
1985730 1576325427924 
1985890 1576325427963 
1988532 1576325428003 
1989234 1576325428045 
1987769 1576325428084 
1987769 1576325428124 
1986828 1576325428163 
1986484 1576325428203 
1986151 1576325428244 
1985461 1576325428284 
1985461 1576325428324 
1985178 1576325428363 
1985205 1576325428404 
1984862 1576325428443 
1985387 1576325428483 
"
